Invoice NO;Stock code;Description;Quantity;Invoice Date;UnitPrice;customerID;Negara;Total Price
536527;22809;SET OF 6 TLIGHTS SANTA;6;12/01/2010 13:04;295;12662;Germany;1770
536527;84347;ROTATING SILVER ANGELS TLIGHT HLDR;6;12/01/2010 13:04;255;12662;Germany;1530
536527;84945;MULTI COLOUR SILVER TLIGHT HOLDER;12;12/01/2010 13:04;85;12662;Germany;1020
536527;22242;5 HOOK HANGER MAGIC TOADSTOOL;12;12/01/2010 13:04;165;12662;Germany;1980
536527;22244;3 HOOK HANGER MAGIC GARDEN;12;12/01/2010 13:04;195;12662;Germany;2340
536527;22243;5 HOOK HANGER RED MAGIC TOADSTOOL;12;12/01/2010 13:04;165;12662;Germany;1980
536527;47421;ASSORTED COLOUR LIZARD SUCTION HOOK;24;12/01/2010 13:04;42;12662;Germany;1008
536527;20712;JUMBO BAG WOODLAND ANIMALS;10;12/01/2010 13:04;195;12662;Germany;1950
536527;20713;JUMBO BAG OWLS;10;12/01/2010 13:04;195;12662;Germany;1950
536527;22837;HOT WATER BOTTLE BABUSHKA ;4;12/01/2010 13:04;465;12662;Germany;1860
536527;22969;HOMEMADE JAM SCENTED CANDLES;12;12/01/2010 13:04;145;12662;Germany;1740
536527;22973;CHILDREN'S CIRCUS PARADE MUG;12;12/01/2010 13:04;165;12662;Germany;1980
536527;84569B;PACK 3 FIRE ENGINE/CAR PATCHES;12;12/01/2010 13:04;125;12662;Germany;1500
536527;22549;PICTURE DOMINOES;12;12/01/2010 13:04;145;12662;Germany;1740
536527;POST;POSTAGE;1;12/01/2010 13:04;18;12662;Germany;18
C536548;22244;3 HOOK HANGER MAGIC GARDEN;4;12/01/2010 14:33;195;12472;Germany;780
C536548;22242;5 HOOK HANGER MAGIC TOADSTOOL;5;12/01/2010 14:33;165;12472;Germany;825
C536548;20914;SET/5 RED RETROSPOT LID GLASS BOWLS;1;12/01/2010 14:33;295;12472;Germany;295
C536548;22892;SET OF SALT AND PEPPER TOADSTOOLS;7;12/01/2010 14:33;125;12472;Germany;875
C536548;22654;DELUXE SEWING KIT ;1;12/01/2010 14:33;595;12472;Germany;595
C536548;22767;TRIPLE PHOTO FRAME CORNICE ;2;12/01/2010 14:33;995;12472;Germany;1990
C536548;22333;RETROSPOT PARTY BAG + STICKER SET;1;12/01/2010 14:33;165;12472;Germany;165
C536548;22245;HOOK, 1 HANGER ,MAGIC GARDEN;2;12/01/2010 14:33;85;12472;Germany;170
C536548;22077;6 RIBBONS RUSTIC CHARM;6;12/01/2010 14:33;165;12472;Germany;990
C536548;22631;CIRCUS PARADE LUNCH BOX ;1;12/01/2010 14:33;195;12472;Germany;195
C536548;22168;ORGANISER WOOD ANTIQUE WHITE ;2;12/01/2010 14:33;85;12472;Germany;170
C536548;21218;RED SPOTTY BISCUIT TIN;3;12/01/2010 14:33;375;12472;Germany;1125
C536548;20957;PORCELAIN HANGING BELL SMALL;1;12/01/2010 14:33;145;12472;Germany;145
C536548;22580;ADVENT CALENDAR GINGHAM SACK;4;12/01/2010 14:33;595;12472;Germany;2380
C536622;22752;SET 7 BABUSHKA NESTING BOXES;2;12/02/2010 10:37;85;12471;Germany;170
536840;22961;JAM MAKING SET PRINTED;12;12/02/2010 18:27;145;12738;Germany;1740
536840;22962;JAM JAR WITH PINK LID;12;12/02/2010 18:27;85;12738;Germany;1020
536840;22963;JAM JAR WITH GREEN LID;12;12/02/2010 18:27;85;12738;Germany;1020
536840;22776;SWEETHEART CAKESTAND 3 TIER;1;12/02/2010 18:27;995;12738;Germany;995
536840;22952;60 CAKE CASES VINTAGE CHRISTMAS;24;12/02/2010 18:27;55;12738;Germany;1320
536840;22077;6 RIBBONS RUSTIC CHARM;12;12/02/2010 18:27;165;12738;Germany;1980
536840;22215;CAKE STAND WHITE TWO TIER LACE;2;12/02/2010 18:27;85;12738;Germany;170
536840;21977;PACK OF 60 PINK PAISLEY CAKE CASES;24;12/02/2010 18:27;55;12738;Germany;1320
536840;84991;60 TEATIME FAIRY CAKE CASES;24;12/02/2010 18:27;55;12738;Germany;1320
536840;21212;PACK OF 72 RETROSPOT CAKE CASES;24;12/02/2010 18:27;55;12738;Germany;1320
536840;POST;POSTAGE;1;12/02/2010 18:27;18;12738;Germany;18
536861;22149;FELTCRAFT 6 FLOWER FRIENDS;6;12/03/2010 10:44;21;12427;Germany;126
536861;22077;6 RIBBONS RUSTIC CHARM;12;12/03/2010 10:44;165;12427;Germany;1980
536861;21249;WOODLAND  HEIGHT CHART STICKERS ;6;12/03/2010 10:44;295;12427;Germany;1770
536861;22636;CHILDS BREAKFAST SET CIRCUS PARADE;8;12/03/2010 10:44;765;12427;Germany;6120
536861;22634;CHILDS BREAKFAST SET SPACEBOY ;8;12/03/2010 10:44;85;12427;Germany;680
536861;22301;COFFEE MUG CAT + BIRD DESIGN;6;12/03/2010 10:44;255;12427;Germany;1530
536861;22300;COFFEE MUG DOG + BALL DESIGN;6;12/03/2010 10:44;255;12427;Germany;1530
536861;21328;BALLOONS  WRITING SET ;12;12/03/2010 10:44;165;12427;Germany;1980
536861;21329;DINOSAURS  WRITING SET ;12;12/03/2010 10:44;165;12427;Germany;1980
536861;POST;POSTAGE;3;12/03/2010 10:44;18;12427;Germany;54
536967;POST;POSTAGE;1;12/03/2010 12:57;18;12600;Germany;18
536967;85099B;JUMBO BAG RED RETROSPOT;30;12/03/2010 12:57;195;12600;Germany;5850
536983;22331;WOODLAND PARTY BAG + STICKER SET;8;12/03/2010 14:30;165;12712;Germany;1320
536983;22865;HAND WARMER OWL DESIGN;12;12/03/2010 14:30;21;12712;Germany;252
536983;22171;3 HOOK PHOTO SHELF ANTIQUE WHITE;4;12/03/2010 14:30;85;12712;Germany;340
